creation_time,factory_address,pool_name,pool_address,token0,token1,platform
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,FXS-FRAX UNI-V2 LP,0xe1573b9d29e2183b1af0e743dc2754979a40d237,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,⚗️-WETH UNI-V2 LP,0xcd6bcca48069f8588780dfa274960f15685aee0e,0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,FLX-WETH UNI-V2 LP,0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9,0x6243d8cea23066d098a15582d81a598b4e8391f4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,AAVE-WETH UNI-V2 LP,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,OHM-FRAX UNI-V2 LP,0x2dce0dda1c2f98e0f171de8333c3c6fe1bbf4877,0x383518188c0c6d7730d91b2c03a03c837814a899,0x853d955acef822db058eb8505911ed77f175b99e,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,FNK-USDT UNI-V2 LP,0x61b62c5d56ccd158a38367ef2f539668a06356ab,0xb5fe099475d3030dde498c3bb6f3854f762a48ad,0xdac17f958d2ee523a2206206994597c13d831ec7,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,SAND-WETH UNI-V2 LP,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,0x3845badade8e6dff049820680d1f14bd3903a5d0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WETH-RLY UNI-V2 LP,0x27fd0857f0ef224097001e87e61026e39e1b04d1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf1f955016ecbcd7321c7266bccfb96c68ea5e49b,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,RAI-WETH UNI-V2 LP,0x8ae720a71622e824f576b4a8c03031066548a3b1,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,XXi-WETH UNI-V2 LP,0x0af81cd5d9c124b4859d65697a4cd10ee223746a,0x11e003e9ecc5a2320e8b11098acd550b928b6df2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,BOND-USDC UNI-V2 LP,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,0x0391d2021f89dc339f60fff84546ea23e337750f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,RK:ETH-ROOT UNI-V2 LP,0x0617d5ffb29c03ac35f1863b8a50ce1b52d446f6,0x1df2099f6abbf0b05c12a61835137d84f10daa96,0xcb5f72d37685c3d5ad0bb5f982443bc8fcdf570e,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,UST-mVIXY UNI-V2 LP,0x6094367ea57ff4f545e2672e024393d82a1d3f28,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xf72fcd9dcf0190923fadd44811e240ef4533fc86,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,MKR-WETH UNI-V2 LP,0xc2adda861f89bbb333c90c492cb837741916a225,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,PAXG-WETH UNI-V2 LP,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mIAU-UST UNI-V2 LP,0xd7f97aa0317c08a1f5c2732e7894933f11724868,0x1d350417d9787e000cc1b95d70e9536dcd91f373,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,UST-mNFLX UNI-V2 LP,0xc99a74145682c4b4a6e9fa55d559eb49a6884f75,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc8d674114bac90148d11d3c1d33c61835a0f9dcd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,HEX-USDC UNI-V2 LP,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,UST-mTWTR UNI-V2 LP,0x34856be886a2dba5f7c38c4df7fd86869ab08040,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xedb0414627e6f1e3f082de65cd4f9c693d78cca9,uniswap-v2
